return_id,order_id,return_reason,return_date
R00110,O001832,Damaged,19-07-2025
R00111,O001856,Size/Fit Issue,28-07-2025
R00112,O001869,Late Delivery,12-02-2026
R00113,O001885,Size/Fit Issue,27-06-2025
R00114,O001909,Size/Fit Issue,02-02-2026
R00115,O001958,Changed Mind,02-02-2026
R00116,O001960,Size/Fit Issue,28-03-2025
R00117,O001981,Quality Issue,29-04-2025
R00118,O001989,Quality Issue,07-07-2025
R00119,O001992,Damaged,12-04-2026
R00120,O002018,Size/Fit Issue,10-07-2026
R00121,O002022,Quality Issue,25-11-2025
R00122,O002070,Size/Fit Issue,11-01-2026
R00123,O002097,Size/Fit Issue,10-01-2025
R00124,O002104,Quality Issue,04-10-2025
R00125,O002105,Size/Fit Issue,09-12-2025
R00126,O002110,Wrong Item,15-02-2025
R00127,O002121,Size/Fit Issue,02-11-2025
R00128,O002131,Damaged,04-03-2026
R00129,O002139,Size/Fit Issue,17-02-2026
R00130,O002144,Damaged,23-04-2025
R00131,O002165,Late Delivery,15-08-2025
R00132,O002169,Quality Issue,01-12-2025
R00133,O002172,Wrong Item,02-07-2025
R00134,O002176,Changed Mind,30-01-2026
R00135,O002197,Quality Issue,04-04-2026
R00136,O002201,Size/Fit Issue,29-04-2026
R00137,O002211,Late Delivery,26-03-2025
R00138,O002227,Quality Issue,04-06-2026
R00139,O002234,Changed Mind,18-06-2026
R00140,O002246,Late Delivery,29-01-2025
R00141,O002264,Damaged,30-05-2025
R00142,O002278,Size/Fit Issue,06-05-2025
R00143,O002280,Changed Mind,24-06-2026
R00144,O002289,Damaged,22-02-2025
R00145,O002306,Size/Fit Issue,07-01-2026
R00146,O002314,Damaged,30-07-2025
R00147,O002330,Wrong Item,08-09-2025
R00148,O002350,Wrong Item,23-08-2026
R00149,O002370,Damaged,14-04-2025
R00150,O002386,Changed Mind,14-09-2025
R00151,O002396,Size/Fit Issue,22-08-2025
R00152,O002418,Wrong Item,04-11-2025
R00153,O002455,Quality Issue,02-11-2025
R00154,O002463,Quality Issue,26-02-2026
R00155,O002465,Changed Mind,11-01-2026
R00156,O002483,Quality Issue,17-04-2025
R00157,O002486,Damaged,22-07-2026
R00158,O002489,Damaged,31-08-2025
R00159,O002490,Damaged,30-01-2026
R00160,O002520,Damaged,25-03-2026
R00161,O002525,Damaged,28-03-2026
R00162,O002531,Damaged,24-02-2025
R00163,O002538,Size/Fit Issue,06-12-2025
R00164,O002548,Late Delivery,21-11-2025
R00165,O002552,Quality Issue,11-06-2025
R00166,O002564,Changed Mind,30-07-2025
R00167,O002571,Wrong Item,16-01-2026
R00168,O002593,Quality Issue,23-02-2026
R00169,O002626,Quality Issue,08-10-2025
R00170,O002636,Size/Fit Issue,04-10-2025
R00171,O002659,Changed Mind,17-12-2025
R00172,O002688,Damaged,05-01-2026
R00173,O002689,Wrong Item,18-02-2026
R00174,O002707,Damaged,30-09-2025
R00175,O002711,Size/Fit Issue,25-02-2026
R00176,O002720,Late Delivery,20-06-2025
R00177,O002722,Size/Fit Issue,25-06-2026
R00178,O002754,Size/Fit Issue,13-11-2025
R00179,O002843,Wrong Item,31-10-2025
R00180,O002868,Wrong Item,20-08-2026
R00181,O002875,Changed Mind,24-01-2026
R00182,O002899,Damaged,15-08-2025
R00183,O002924,Quality Issue,21-06-2026
R00184,O002937,Size/Fit Issue,15-08-2025
R00185,O002957,Changed Mind,29-10-2025
R00186,O002958,Size/Fit Issue,09-08-2026
R00187,O002961,Changed Mind,28-05-2025
R00188,O002996,Damaged,21-11-2025
R00189,O003004,Damaged,18-02-2026
R00190,O003020,Size/Fit Issue,08-04-2026
R00191,O003041,Changed Mind,29-07-2025
R00192,O003079,Late Delivery,13-03-2025
R00193,O003098,Damaged,21-12-2025
R00194,O003110,Wrong Item,18-12-2025
R00195,O003138,Size/Fit Issue,30-09-2025
R00196,O003139,Damaged,07-08-2025
R00197,O003195,Size/Fit Issue,15-09-2025
R00198,O003230,Size/Fit Issue,14-10-2025
R00199,O003232,Late Delivery,08-09-2025
R00200,O003244,Wrong Item,14-11-2025
R00201,O003252,Damaged,28-06-2025
R00202,O003253,Quality Issue,16-12-2025
R00203,O003303,Quality Issue,30-05-2025
R00204,O003333,Late Delivery,13-07-2025
R00205,O003334,Late Delivery,10-06-2025
R00206,O003335,Quality Issue,05-04-2025
R00207,O003338,Damaged,25-03-2025
R00208,O003343,Size/Fit Issue,07-01-2026
R00209,O003344,Quality Issue,03-03-2026
R00210,O003378,Quality Issue,08-12-2025
R00211,O003380,Wrong Item,28-07-2026
R00212,O003389,Size/Fit Issue,26-08-2025
R00213,O003390,Size/Fit Issue,09-03-2026
R00214,O003399,Damaged,08-03-2025
R00215,O003402,Quality Issue,17-07-2026
R00216,O003440,Size/Fit Issue,24-05-2025
R00217,O003491,Size/Fit Issue,10-03-2026
R00218,O003512,Late Delivery,26-04-2025
R00219,O003530,Size/Fit Issue,25-03-2025
R00220,O003532,Size/Fit Issue,27-04-2025
R00221,O003548,Size/Fit Issue,02-04-2026
R00222,O003579,Quality Issue,11-05-2025
R00223,O003611,Changed Mind,25-05-2025
R00224,O003625,Late Delivery,29-08-2026
R00225,O003627,Size/Fit Issue,31-08-2026
R00226,O003634,Size/Fit Issue,16-07-2025
R00227,O003658,Quality Issue,04-09-2025
R00228,O003662,Damaged,08-08-2025
R00229,O003685,Wrong Item,22-02-2025
R00230,O003686,Size/Fit Issue,05-03-2026
R00231,O003698,Quality Issue,17-05-2026
R00232,O003703,Changed Mind,08-04-2025
R00233,O003708,Quality Issue,09-08-2026
R00234,O003726,Late Delivery,03-05-2025
R00235,O003743,Wrong Item,22-11-2025
R00236,O003749,Late Delivery,16-05-2026
R00237,O003750,Late Delivery,20-05-2026
R00238,O003790,Quality Issue,27-06-2025
R00239,O003791,Quality Issue,30-05-2025
R00240,O003802,Late Delivery,24-05-2025
R00241,O003829,Wrong Item,25-09-2025
R00242,O003845,Size/Fit Issue,06-09-2025
R00243,O003847,Size/Fit Issue,21-06-2026
R00244,O003850,Damaged,18-11-2025
R00245,O003875,Damaged,12-03-2025
R00246,O003882,Late Delivery,29-03-2026
R00247,O003886,Size/Fit Issue,14-12-2025
R00248,O003892,Quality Issue,12-02-2025
R00249,O003893,Late Delivery,15-08-2026
R00250,O003898,Size/Fit Issue,14-11-2025
R00251,O003902,Quality Issue,02-12-2025
R00252,O003939,Size/Fit Issue,25-01-2026
R00253,O003940,Damaged,06-10-2025
R00254,O003969,Late Delivery,24-03-2025
R00255,O004008,Late Delivery,22-01-2025
R00256,O004009,Damaged,16-10-2025
R00257,O004037,Late Delivery,11-04-2025
R00258,O004042,Size/Fit Issue,31-05-2026
R00259,O004080,Wrong Item,30-07-2026
R00260,O004097,Wrong Item,06-03-2026
R00261,O004105,Late Delivery,23-10-2025
R00262,O004206,Damaged,03-10-2025
R00263,O004225,Quality Issue,13-02-2025
R00264,O004257,Damaged,31-12-2025
R00265,O004259,Quality Issue,20-04-2025
R00266,O004260,Damaged,13-08-2025
R00267,O004277,Wrong Item,23-08-2025
R00268,O004285,Late Delivery,14-12-2025
R00269,O004301,Late Delivery,16-05-2026
R00270,O004360,Size/Fit Issue,31-01-2026
R00271,O004377,Quality Issue,24-04-2025
R00272,O004424,Changed Mind,26-02-2026
R00273,O004425,Wrong Item,01-07-2025
R00274,O004426,Size/Fit Issue,25-05-2025
R00275,O004442,Damaged,17-06-2025
R00276,O004452,Quality Issue,19-01-2026
R00277,O004473,Late Delivery,15-06-2025
R00278,O004492,Size/Fit Issue,12-08-2025
R00279,O004493,Late Delivery,14-04-2025
R00280,O004503,Damaged,13-07-2026
R00281,O004504,Quality Issue,01-05-2026
R00282,O004505,Size/Fit Issue,24-01-2025
R00283,O004509,Size/Fit Issue,28-04-2026
R00284,O004537,Quality Issue,11-08-2026
R00285,O004551,Quality Issue,07-12-2025
R00286,O004586,Quality Issue,12-07-2025
R00287,O004620,Damaged,28-07-2025
R00288,O004625,Size/Fit Issue,14-12-2025
R00289,O004633,Damaged,12-01-2026
R00290,O004634,Size/Fit Issue,02-10-2025
R00291,O004643,Late Delivery,20-05-2026
R00292,O004670,Damaged,26-05-2025
R00293,O004690,Quality Issue,12-09-2025
R00294,O004702,Size/Fit Issue,24-09-2025
R00295,O004728,Changed Mind,29-04-2026
R00296,O004747,Quality Issue,20-06-2026
R00297,O004749,Damaged,10-07-2025
R00298,O004759,Late Delivery,20-03-2026
R00299,O004776,Late Delivery,14-08-2026
R00300,O004778,Late Delivery,25-05-2026
R00301,O004863,Damaged,15-02-2026
R00302,O004865,Damaged,08-09-2025
R00303,O004867,Wrong Item,27-08-2026
R00304,O004872,Late Delivery,10-07-2026
R00305,O004890,Size/Fit Issue,04-07-2025
R00306,O004922,Size/Fit Issue,16-03-2025
R00307,O004929,Quality Issue,12-10-2025
R00308,O004932,Quality Issue,19-05-2026
R00309,O004944,Damaged,01-09-2025
R00310,O004953,Size/Fit Issue,21-02-2026
R00311,O004967,Damaged,09-02-2026
R00312,O004971,Size/Fit Issue,07-03-2026
R00313,O004979,Wrong Item,20-01-2026
R00314,O005005,Wrong Item,12-05-2025
R00315,O005041,Late Delivery,22-10-2025
R00316,O005081,Wrong Item,31-01-2025
R00317,O005090,Changed Mind,09-06-2026
R00318,O005109,Size/Fit Issue,17-09-2025
R00319,O005118,Quality Issue,21-07-2026
R00320,O005124,Size/Fit Issue,18-07-2026
R00321,O005169,Changed Mind,27-09-2025
R00322,O005198,Wrong Item,30-04-2026
R00323,O005201,Changed Mind,21-05-2025
R00324,O005203,Damaged,07-02-2026
R00325,O005205,Size/Fit Issue,08-09-2025
R00326,O005245,Size/Fit Issue,28-02-2025
R00327,O005254,Size/Fit Issue,06-11-2025
R00328,O005270,Damaged,09-06-2026
R00329,O005272,Size/Fit Issue,11-06-2025
R00330,O005292,Size/Fit Issue,09-10-2025
R00331,O005313,Damaged,17-04-2025
R00332,O005321,Changed Mind,11-08-2025
R00333,O005335,Quality Issue,06-06-2025
R00334,O005400,Quality Issue,19-08-2026
R00335,O005401,Quality Issue,11-06-2025
R00336,O005414,Damaged,03-08-2025
R00337,O005421,Size/Fit Issue,05-04-2026
R00338,O005427,Quality Issue,14-01-2026
R00339,O005432,Wrong Item,22-04-2026
R00340,O005438,Damaged,03-02-2026
R00341,O005452,Size/Fit Issue,19-04-2025
R00342,O005455,Wrong Item,12-08-2026
R00343,O005465,Quality Issue,13-05-2026
R00344,O005478,Size/Fit Issue,23-01-2025
R00345,O005498,Damaged,10-07-2026
R00346,O005504,Quality Issue,29-08-2026
R00347,O005530,Changed Mind,09-02-2025
R00348,O005562,Damaged,13-03-2026
R00349,O005564,Wrong Item,26-03-2026
R00350,O005575,Changed Mind,29-11-2025
R00351,O005592,Size/Fit Issue,06-11-2025
R00352,O005599,Late Delivery,08-06-2026
R00353,O005631,Quality Issue,27-02-2026
R00354,O005640,Quality Issue,02-03-2026
R00355,O005657,Size/Fit Issue,22-07-2025
R00356,O005700,Size/Fit Issue,25-01-2025
R00357,O005717,Changed Mind,29-06-2025
R00358,O005728,Quality Issue,28-01-2026
R00359,O005731,Size/Fit Issue,29-08-2026
R00360,O005757,Size/Fit Issue,17-10-2025
R00361,O005785,Quality Issue,16-11-2025
R00362,O005797,Late Delivery,19-07-2025
R00363,O005799,Size/Fit Issue,18-09-2025
R00364,O005830,Wrong Item,25-04-2026
R00365,O005863,Wrong Item,21-10-2025
R00366,O005867,Changed Mind,22-04-2026
R00367,O005873,Size/Fit Issue,16-01-2025
R00368,O005874,Late Delivery,31-01-2026
R00369,O005889,Size/Fit Issue,27-01-2026
R00370,O005897,Quality Issue,08-04-2026
R00371,O005914,Changed Mind,08-04-2025
R00372,O005945,Wrong Item,06-01-2026
R00373,O005963,Late Delivery,02-12-2025
R00374,O006010,Wrong Item,25-06-2026
R00375,O006043,Late Delivery,20-07-2025
R00376,O006046,Wrong Item,27-12-2025
R00377,O006061,Size/Fit Issue,12-07-2026
R00378,O006080,Size/Fit Issue,03-09-2026
R00379,O006095,Late Delivery,30-10-2025
R00380,O006096,Changed Mind,21-06-2026
R00381,O006101,Wrong Item,24-01-2026
R00382,O006105,Damaged,05-04-2026
R00383,O006107,Changed Mind,08-10-2025
R00384,O006111,Damaged,23-01-2026
R00385,O006116,Size/Fit Issue,19-08-2026
R00386,O006117,Quality Issue,27-04-2026
R00387,O006122,Late Delivery,28-01-2026
R00388,O006126,Wrong Item,03-12-2025
R00389,O006131,Damaged,16-07-2025
R00390,O006136,Size/Fit Issue,11-03-2025
R00391,O006146,Size/Fit Issue,04-10-2025
R00392,O006156,Quality Issue,17-08-2026
R00393,O006171,Changed Mind,17-05-2025
R00394,O006175,Damaged,14-08-2026
R00395,O006214,Changed Mind,24-05-2025
R00396,O006256,Changed Mind,05-09-2025
R00397,O006283,Size/Fit Issue,22-02-2025
R00398,O006288,Changed Mind,02-10-2025
R00399,O006289,Quality Issue,19-12-2025
R00400,O006302,Damaged,17-08-2025
R00401,O006313,Damaged,31-01-2026
R00402,O006321,Quality Issue,11-10-2025
R00403,O006350,Late Delivery,15-10-2025
R00404,O006352,Size/Fit Issue,17-07-2026
R00405,O006355,Damaged,30-12-2025
R00406,O006376,Size/Fit Issue,03-11-2025
R00407,O006379,Damaged,20-05-2025
R00408,O006386,Damaged,01-01-2026
R00409,O006405,Changed Mind,01-08-2026
R00410,O006433,Size/Fit Issue,23-07-2025
R00411,O006445,Wrong Item,05-08-2026
R00412,O006505,Wrong Item,20-07-2025
R00413,O006514,Late Delivery,10-06-2025
R00414,O006524,Late Delivery,06-03-2026
R00415,O006525,Quality Issue,18-10-2025
R00416,O006533,Damaged,03-07-2025
R00417,O006545,Damaged,19-03-2025
R00418,O006598,Wrong Item,13-02-2026
R00419,O006611,Quality Issue,11-06-2025
R00420,O006629,Quality Issue,20-05-2026
R00421,O006637,Wrong Item,18-04-2026
R00422,O006651,Damaged,03-04-2026
R00423,O006657,Quality Issue,03-09-2026
R00424,O006669,Size/Fit Issue,04-06-2025
R00425,O006692,Changed Mind,21-01-2026
R00426,O006697,Wrong Item,07-05-2025
R00427,O006700,Late Delivery,20-07-2025
R00428,O006720,Wrong Item,15-10-2025
R00429,O006770,Changed Mind,14-01-2025
R00430,O006782,Quality Issue,23-04-2026
R00431,O006814,Late Delivery,27-01-2025
R00432,O006816,Damaged,07-02-2026
R00433,O006821,Wrong Item,05-01-2026
R00434,O006829,Wrong Item,01-03-2025
R00435,O006832,Quality Issue,30-03-2026
R00436,O006864,Size/Fit Issue,11-04-2026
R00437,O006900,Quality Issue,08-12-2025
R00438,O006932,Quality Issue,08-10-2025
R00439,O007004,Damaged,27-04-2025
R00440,O007033,Size/Fit Issue,01-07-2025
R00441,O007045,Size/Fit Issue,09-02-2026
R00442,O007048,Damaged,09-11-2025
R00443,O007077,Quality Issue,27-03-2025
R00444,O007091,Wrong Item,08-07-2025
R00445,O007113,Changed Mind,27-02-2025
R00446,O007114,Size/Fit Issue,14-01-2026
R00447,O007124,Size/Fit Issue,22-02-2025
R00448,O007147,Late Delivery,14-03-2026
R00449,O007153,Size/Fit Issue,19-12-2025
R00450,O007154,Damaged,11-07-2026
R00451,O007167,Wrong Item,08-09-2026
R00452,O007208,Damaged,06-02-2025
R00453,O007214,Size/Fit Issue,22-06-2025
R00454,O007233,Late Delivery,11-09-2025
R00455,O007247,Changed Mind,05-06-2025
R00456,O007274,Late Delivery,12-06-2025
R00457,O007278,Changed Mind,08-07-2025
R00458,O007328,Late Delivery,13-02-2026
R00459,O007331,Size/Fit Issue,02-02-2026
R00460,O007373,Late Delivery,30-08-2026
R00461,O007386,Quality Issue,06-11-2025
R00462,O007387,Quality Issue,30-04-2026
R00463,O007402,Changed Mind,21-08-2025
R00464,O007437,Size/Fit Issue,01-04-2025
R00465,O007454,Late Delivery,16-10-2025
R00466,O007487,Quality Issue,24-03-2026
R00467,O007495,Wrong Item,09-10-2025
R00468,O007497,Changed Mind,20-02-2025
R00469,O007514,Late Delivery,10-07-2025
R00470,O007520,Damaged,04-04-2025
R00471,O007521,Quality Issue,06-07-2026
R00472,O007532,Changed Mind,23-06-2025
R00473,O007552,Quality Issue,01-07-2026
R00474,O007584,Quality Issue,17-11-2025
R00475,O007588,Quality Issue,26-05-2025
R00476,O007591,Changed Mind,12-03-2026
R00477,O007614,Size/Fit Issue,17-09-2025
R00478,O007616,Late Delivery,09-03-2026
R00479,O007619,Damaged,16-07-2026
R00480,O007653,Size/Fit Issue,02-09-2025
R00481,O007670,Wrong Item,31-05-2026
R00482,O007671,Size/Fit Issue,19-07-2025
R00483,O007727,Quality Issue,30-06-2026
R00484,O007735,Size/Fit Issue,19-08-2025
R00485,O007752,Size/Fit Issue,27-05-2025
R00486,O007753,Damaged,28-03-2026
R00487,O007770,Late Delivery,12-02-2026
R00488,O007771,Quality Issue,01-03-2026
R00489,O007831,Damaged,25-09-2025
R00490,O007832,Damaged,30-07-2026
R00491,O007877,Size/Fit Issue,29-12-2025
R00492,O007888,Wrong Item,11-02-2026
R00493,O007894,Size/Fit Issue,12-06-2025
R00494,O007970,Wrong Item,19-07-2026
R00495,O007977,Damaged,07-12-2025
R00496,O008015,Late Delivery,29-04-2025
R00497,O008051,Changed Mind,27-12-2025
R00498,O008073,Quality Issue,08-02-2026
R00499,O008081,Wrong Item,16-04-2026
R00500,O008088,Wrong Item,02-04-2025
R00501,O008096,Late Delivery,06-06-2026
R00502,O008112,Damaged,06-05-2026
R00503,O008137,Late Delivery,13-09-2025
R00504,O008170,Changed Mind,25-04-2025
R00505,O008178,Changed Mind,10-11-2025
R00506,O008207,Size/Fit Issue,15-06-2026
R00507,O008228,Damaged,02-03-2025
R00508,O008259,Damaged,25-10-2025
R00509,O008315,Size/Fit Issue,03-07-2026
R00510,O008320,Late Delivery,04-03-2026
R00511,O008358,Wrong Item,28-05-2026
R00512,O008361,Changed Mind,23-04-2025
R00513,O008420,Size/Fit Issue,03-03-2026
R00514,O008479,Size/Fit Issue,25-03-2026
R00515,O008489,Wrong Item,01-05-2025
R00516,O008494,Quality Issue,25-03-2025
R00517,O008505,Size/Fit Issue,02-02-2026
R00518,O008510,Late Delivery,22-04-2026
R00519,O008520,Size/Fit Issue,15-11-2025
R00520,O008537,Size/Fit Issue,05-10-2025
R00521,O008539,Size/Fit Issue,25-09-2025
R00522,O008561,Wrong Item,22-12-2025
R00523,O008573,Changed Mind,01-07-2026
R00524,O008593,Quality Issue,04-05-2026
R00525,O008606,Damaged,17-05-2026
R00526,O008608,Changed Mind,25-07-2025
R00527,O008613,Quality Issue,23-08-2026
R00528,O008615,Size/Fit Issue,20-04-2025
R00529,O008619,Damaged,12-05-2025
R00530,O008642,Quality Issue,15-07-2025
R00531,O008705,Changed Mind,06-03-2025
R00532,O008709,Damaged,03-10-2025
R00533,O008710,Damaged,31-03-2025
R00534,O008723,Quality Issue,18-11-2025
R00535,O008738,Damaged,12-02-2025
R00536,O008748,Damaged,03-03-2025
R00537,O008773,Quality Issue,03-03-2025
R00538,O008795,Late Delivery,24-10-2025
R00539,O008805,Late Delivery,30-01-2025
R00540,O008811,Wrong Item,26-07-2026
R00541,O008830,Size/Fit Issue,06-04-2026
R00542,O008866,Wrong Item,07-03-2026
R00543,O008868,Damaged,19-08-2025
R00544,O008897,Changed Mind,13-07-2026
R00545,O008905,Damaged,25-04-2025
R00546,O008919,Damaged,26-08-2025
R00547,O008933,Late Delivery,15-03-2026
R00548,O008944,Size/Fit Issue,10-01-2025
R00549,O008982,Size/Fit Issue,31-08-2026
R00550,O009009,Changed Mind,29-04-2025
R00551,O009024,Size/Fit Issue,29-05-2025
R00552,O009037,Changed Mind,17-03-2025
R00553,O009050,Wrong Item,13-03-2025
R00554,O009054,Size/Fit Issue,21-02-2025
R00555,O009067,Quality Issue,22-06-2026
R00556,O009093,Size/Fit Issue,04-02-2026
R00557,O009106,Changed Mind,08-04-2025
R00558,O009128,Wrong Item,21-05-2026
R00559,O009140,Late Delivery,26-04-2026
R00560,O009151,Damaged,22-05-2025
R00561,O009160,Damaged,18-02-2025
R00562,O009171,Quality Issue,28-12-2025
R00563,O009180,Changed Mind,07-10-2025
R00564,O009189,Quality Issue,11-07-2025
R00565,O009231,Damaged,20-04-2026
R00566,O009236,Damaged,20-11-2025
R00567,O009240,Damaged,23-07-2026
R00568,O009242,Late Delivery,26-04-2025
R00569,O009264,Wrong Item,01-03-2026
R00570,O009270,Changed Mind,13-08-2026
R00571,O009295,Damaged,28-12-2025
R00572,O009304,Size/Fit Issue,22-07-2026
R00573,O009310,Changed Mind,18-08-2026
R00574,O009330,Late Delivery,01-03-2026
R00575,O009350,Changed Mind,18-10-2025
R00576,O009360,Quality Issue,05-03-2025
R00577,O009369,Late Delivery,03-05-2025
R00578,O009424,Size/Fit Issue,16-07-2026
R00579,O009434,Damaged,16-09-2025
R00580,O009439,Late Delivery,21-07-2026
R00581,O009449,Size/Fit Issue,08-01-2026
R00582,O009463,Size/Fit Issue,18-06-2025
R00583,O009563,Size/Fit Issue,14-09-2025
R00584,O009603,Late Delivery,04-05-2026
R00585,O009624,Late Delivery,16-06-2026
R00586,O009627,Damaged,01-03-2025
R00587,O009636,Late Delivery,23-07-2026
R00588,O009638,Quality Issue,31-12-2025
R00589,O009692,Size/Fit Issue,08-02-2025
R00590,O009723,Late Delivery,19-02-2025
R00591,O009735,Size/Fit Issue,25-07-2025
R00592,O009736,Size/Fit Issue,08-12-2025
R00593,O009741,Size/Fit Issue,02-06-2025
R00594,O009747,Quality Issue,14-07-2025
R00595,O009791,Quality Issue,04-03-2026
R00596,O009800,Damaged,06-01-2026
R00597,O009807,Quality Issue,13-02-2026
R00598,O009816,Size/Fit Issue,31-01-2026
R00599,O009842,Size/Fit Issue,27-12-2025
R00600,O009845,Size/Fit Issue,06-05-2025
R00601,O009866,Damaged,15-06-2025
R00602,O009904,Late Delivery,23-04-2026
R00603,O009907,Wrong Item,23-10-2025
R00604,O009922,Size/Fit Issue,23-01-2026
R00605,O009929,Size/Fit Issue,28-08-2025
R00606,O009960,Size/Fit Issue,02-02-2026
R00607,O009964,Changed Mind,21-03-2025
R00608,O009976,Changed Mind,03-12-2025
R00609,O010004,Size/Fit Issue,24-04-2025
R00610,O010007,Size/Fit Issue,27-07-2025
R00611,O010012,Quality Issue,26-03-2026
R00612,O010017,Quality Issue,20-09-2025
R00613,O010036,Changed Mind,04-06-2025
R00614,O010040,Late Delivery,07-02-2025
R00615,O010043,Late Delivery,15-01-2026
R00616,O010066,Changed Mind,06-03-2026
R00617,O010077,Damaged,13-07-2025
R00618,O010108,Damaged,21-08-2025
R00619,O010137,Size/Fit Issue,27-06-2026
R00620,O010150,Damaged,19-07-2026
R00621,O010164,Wrong Item,30-12-2025
R00622,O010186,Quality Issue,08-01-2025
