order_id,expected_delivery_date,actual_delivery_date,delivery_days,delivery_status,,,
O000058,16-06-2025,16-06-2025,4,On Time,,,
O000059,06-03-2025,06-03-2025,6,On Time,,,
O000060,06-08-2026,06-08-2026,1,On Time,,,
O000061,08-01-2025,08-01-2025,7,On Time,,,
O000062,24-02-2025,28-02-2025,7,Late,,,
O000063,02-06-2025,06-06-2025,5,Not Shipped,,,
O000064,13-12-2025,13-12-2025,4,On Time,,,
O000065,10-09-2025,10-09-2025,1,On Time,,,
O000066,09-01-2025,09-01-2025,5,On Time,,,
O000067,26-08-2025,29-08-2025,5,Late,,,
O000068,30-09-2025,30-09-2025,6,On Time,,,
O000069,05-04-2026,05-04-2026,1,On Time,,,
O000070,17-05-2025,17-05-2025,6,On Time,,,
O000071,20-11-2025,20-11-2025,6,On Time,,,
O000072,16-06-2026,16-06-2026,3,On Time,,,
O000073,19-08-2026,24-08-2026,11,Late,,,
O000074,21-04-2025,21-04-2025,5,Not Shipped,,,
O000075,08-09-2025,08-09-2025,2,On Time,,,
O000076,18-09-2025,18-09-2025,5,On Time,,,
O000077,14-07-2026,17-07-2026,4,Late,,,
O000078,04-07-2026,04-07-2026,2,On Time,,,
O000079,07-05-2026,07-05-2026,4,On Time,,,
O000080,03-10-2025,03-10-2025,1,On Time,,,
O000081,09-10-2025,09-10-2025,7,On Time,,,
O000082,01-04-2026,01-04-2026,2,On Time,,,
O000083,15-06-2025,17-06-2025,8,Late,,,
O000084,06-06-2025,06-06-2025,2,On Time,,,
O000085,04-09-2025,04-09-2025,7,On Time,,,
O000086,18-04-2026,18-04-2026,7,On Time,,,
O000087,13-01-2025,13-01-2025,3,On Time,,,
O000088,21-01-2026,21-01-2026,5,On Time,,,
O000089,17-02-2025,17-02-2025,3,Not Shipped,,,
O000090,12-04-2025,12-04-2025,8,Not Shipped,,,
O000091,04-10-2025,05-10-2025,4,Late,,,
O000092,10-12-2025,10-12-2025,1,On Time,,,
O000093,15-03-2026,15-03-2026,5,On Time,,,
O000094,14-03-2026,16-03-2026,3,Late,,,
O000095,25-02-2025,25-02-2025,1,On Time,,,
O000096,09-01-2025,14-01-2025,11,Late,,,
O000097,21-06-2025,21-06-2025,1,On Time,,,
O000098,19-12-2025,24-12-2025,9,Late,,,
O000099,26-06-2025,26-06-2025,5,On Time,,,
O000100,22-12-2025,22-12-2025,2,On Time,,,
O000101,03-08-2025,03-08-2025,6,On Time,,,
O000102,06-06-2026,06-06-2026,5,On Time,,,
O000103,12-02-2026,12-02-2026,8,On Time,,,
O000104,01-04-2025,04-04-2025,9,Late,,,
O000105,18-08-2026,18-08-2026,6,On Time,,,
O000106,19-02-2026,19-02-2026,7,On Time,,,
O000107,17-06-2025,18-06-2025,8,Late,,,
O000108,10-03-2026,10-03-2026,2,On Time,,,
O000109,03-08-2026,03-08-2026,5,On Time,,,
O000110,04-04-2026,04-04-2026,5,On Time,,,
O000111,12-07-2025,12-07-2025,7,On Time,,,
O000112,03-10-2025,03-10-2025,1,Not Shipped,,,
O000113,13-06-2025,13-06-2025,4,On Time,,,
O000114,06-09-2025,06-09-2025,7,On Time,,,
O000115,19-09-2025,19-09-2025,7,On Time,,,
O000116,27-04-2026,29-04-2026,4,Late,,,
O000117,17-06-2025,17-06-2025,8,On Time,,,
O000118,17-09-2025,17-09-2025,1,On Time,,,
O000119,10-02-2026,10-02-2026,8,Not Shipped,,,
O000120,01-05-2026,01-05-2026,1,Not Shipped,,,
O000121,24-08-2025,25-08-2025,7,Late,,,
O000122,18-06-2025,18-06-2025,3,On Time,,,
O000123,31-03-2026,31-03-2026,5,On Time,,,
O000124,08-06-2026,08-06-2026,2,On Time,,,
O000125,30-09-2025,30-09-2025,8,On Time,,,
O000126,23-01-2026,23-01-2026,3,On Time,,,
O000127,07-06-2026,07-06-2026,8,On Time,,,
O000128,27-08-2026,27-08-2026,6,On Time,,,
O000129,23-01-2026,23-01-2026,3,On Time,,,
O000130,08-02-2026,08-02-2026,4,On Time,,,
O000131,01-03-2025,01-03-2025,6,Not Shipped,,,
O000132,05-05-2025,06-05-2025,6,Late,,,
O000133,29-01-2025,29-01-2025,7,On Time,,,
O000134,08-07-2025,08-07-2025,4,Not Shipped,,,
O000135,30-07-2025,30-07-2025,8,On Time,,,
O000136,26-03-2025,26-03-2025,5,On Time,,,
O000137,09-03-2025,09-03-2025,3,On Time,,,
O000138,01-06-2025,01-06-2025,5,On Time,,,
O000139,10-06-2026,10-06-2026,5,On Time,,,
O000140,14-09-2025,14-09-2025,3,On Time,,,
O000141,20-02-2026,22-02-2026,7,Late,,,
O000142,03-04-2026,03-04-2026,7,On Time,,,
O000143,24-07-2025,24-07-2025,5,On Time,,,
O000144,26-07-2026,26-07-2026,7,Not Shipped,,,
O000145,12-02-2026,12-02-2026,1,On Time,,,
O000146,30-11-2025,30-11-2025,6,On Time,,,
O000147,20-06-2026,24-06-2026,7,Late,,,
O000148,15-07-2025,16-07-2025,9,Late,,,
O000149,07-08-2025,12-08-2025,10,Not Shipped,,,
O000150,01-02-2025,01-02-2025,6,On Time,,,
O000151,07-04-2026,07-04-2026,4,On Time,,,
O000152,22-04-2025,22-04-2025,2,On Time,,,
O000153,28-05-2025,28-05-2025,7,On Time,,,
O000154,19-02-2025,19-02-2025,6,On Time,,,
O000155,28-11-2025,28-11-2025,3,On Time,,,
O000156,15-05-2025,15-05-2025,1,On Time,,,
O000157,20-08-2025,20-08-2025,5,On Time,,,
O000158,06-03-2026,10-03-2026,12,Not Shipped,,,
O000159,16-11-2025,16-11-2025,4,On Time,,,
O000160,03-10-2025,03-10-2025,7,On Time,,,
O000161,01-03-2025,03-03-2025,10,Late,,,
O000162,03-08-2026,03-08-2026,5,On Time,,,
O000163,02-07-2026,03-07-2026,2,Late,,,
O000164,09-08-2025,09-08-2025,6,On Time,,,
O000165,04-06-2026,04-06-2026,1,On Time,,,
O000166,27-11-2025,27-11-2025,5,On Time,,,
O000167,06-11-2025,06-11-2025,7,On Time,,,
O000168,03-04-2026,03-04-2026,3,On Time,,,
O000169,30-04-2025,30-04-2025,2,On Time,,,
O000170,04-06-2026,04-06-2026,6,On Time,,,
O000171,08-02-2025,08-02-2025,8,Not Shipped,,,
O000172,13-02-2026,13-02-2026,6,On Time,,,
O000173,19-01-2026,19-01-2026,4,On Time,,,
O000174,28-10-2025,28-10-2025,5,On Time,,,
O000175,31-08-2026,31-08-2026,7,On Time,,,
O000176,01-04-2025,04-04-2025,8,Late,,,
O000177,13-05-2025,13-05-2025,1,On Time,,,
O000178,19-06-2025,24-06-2025,8,Late,,,
O000179,17-01-2025,17-01-2025,8,On Time,,,
O000180,19-09-2025,19-09-2025,3,On Time,,,
O000181,16-11-2025,16-11-2025,6,Not Shipped,,,
O000182,10-04-2026,10-04-2026,4,On Time,,,
O000183,01-03-2026,01-03-2026,7,On Time,,,
O000184,02-02-2025,06-02-2025,7,Late,,,
O000185,18-04-2026,19-04-2026,4,Late,,,
O000186,10-12-2025,10-12-2025,8,On Time,,,
O000187,29-03-2025,29-03-2025,8,On Time,,,
O000188,10-09-2025,10-09-2025,1,On Time,,,
O000189,25-08-2026,25-08-2026,4,On Time,,,
O000190,05-08-2026,09-08-2026,5,Late,,,
O000191,04-10-2025,04-10-2025,2,On Time,,,
O000192,06-06-2025,06-06-2025,7,On Time,,,
O000193,02-08-2025,02-08-2025,7,On Time,,,
O000194,23-01-2026,23-01-2026,2,On Time,,,
O000195,31-03-2026,31-03-2026,6,Not Shipped,,,
O000196,19-03-2025,19-03-2025,3,On Time,,,
O000197,21-07-2025,21-07-2025,5,On Time,,,
O000198,27-05-2026,27-05-2026,8,On Time,,,
O000199,30-09-2025,30-09-2025,8,On Time,,,
O000200,07-03-2025,07-03-2025,3,On Time,,,
O000201,09-03-2026,09-03-2026,6,On Time,,,
O000202,16-06-2026,16-06-2026,1,On Time,,,
O000203,26-03-2025,28-03-2025,8,Late,,,
O000204,22-06-2025,22-06-2025,6,On Time,,,
O000205,01-03-2026,01-03-2026,6,On Time,,,
O000206,04-10-2025,04-10-2025,6,On Time,,,
O000207,15-09-2025,15-09-2025,2,On Time,,,
O000208,17-04-2025,17-04-2025,2,On Time,,,
O000209,17-04-2026,17-04-2026,4,On Time,,,
O000210,01-08-2025,01-08-2025,3,On Time,,,
O000211,05-03-2025,05-03-2025,4,On Time,,,
O000212,24-07-2025,24-07-2025,3,On Time,,,
O000213,28-04-2025,28-04-2025,1,On Time,,,
O000214,20-10-2025,25-10-2025,10,Late,,,
O000215,06-08-2026,06-08-2026,5,On Time,,,
O000216,02-07-2025,02-07-2025,3,On Time,,,
O000217,06-11-2025,06-11-2025,6,On Time,,,
O000218,02-04-2025,02-04-2025,8,On Time,,,
O000219,12-03-2026,14-03-2026,9,Late,,,
O000220,09-10-2025,09-10-2025,5,Not Shipped,,,
O000221,13-12-2025,17-12-2025,8,Late,,,
O000222,19-01-2025,19-01-2025,1,On Time,,,
O000223,21-04-2026,21-04-2026,7,On Time,,,
O000224,14-01-2025,14-01-2025,6,Not Shipped,,,
O000225,30-11-2025,30-11-2025,4,On Time,,,
O000226,07-03-2026,07-03-2026,8,On Time,,,
O000227,02-09-2025,02-09-2025,3,On Time,,,
O000228,07-01-2026,07-01-2026,3,On Time,,,
O000229,07-08-2026,07-08-2026,8,On Time,,,
O000230,06-08-2025,06-08-2025,3,On Time,,,
O000231,05-03-2025,07-03-2025,6,Late,,,
O000232,13-10-2025,17-10-2025,7,Late,,,
O000233,29-12-2025,29-12-2025,1,On Time,,,
O000234,10-12-2025,10-12-2025,8,On Time,,,
O000235,15-01-2026,15-01-2026,3,Not Shipped,,,
O000236,10-05-2025,10-05-2025,1,On Time,,,
O000237,02-03-2026,02-03-2026,7,On Time,,,
O000238,03-06-2026,03-06-2026,6,On Time,,,
O000239,12-08-2025,12-08-2025,3,On Time,,,
O000240,06-01-2026,06-01-2026,1,On Time,,,
O000241,13-04-2026,13-04-2026,7,On Time,,,
O000242,24-11-2025,24-11-2025,4,On Time,,,
O000243,14-08-2026,14-08-2026,2,On Time,,,
O000244,04-10-2025,07-10-2025,9,Late,,,
O000245,04-07-2025,08-07-2025,10,Late,,,
O000246,10-06-2025,10-06-2025,2,On Time,,,
O000247,10-06-2026,10-06-2026,3,On Time,,,
O000248,21-01-2026,21-01-2026,4,Not Shipped,,,
O000249,14-08-2025,14-08-2025,2,On Time,,,
O000250,06-08-2026,06-08-2026,5,On Time,,,
O000251,28-03-2026,28-03-2026,8,On Time,,,
O000252,04-08-2025,09-08-2025,9,Not Shipped,,,
O000253,20-04-2026,20-04-2026,5,On Time,,,
O000254,19-08-2026,19-08-2026,4,On Time,,,
O000255,17-05-2025,17-05-2025,1,Not Shipped,,,
O000256,11-03-2026,11-03-2026,8,Not Shipped,,,
O000257,22-01-2026,22-01-2026,3,On Time,,,
O000258,12-07-2026,12-07-2026,1,On Time,,,
O000259,15-03-2025,15-03-2025,2,On Time,,,
O000260,03-07-2026,03-07-2026,2,On Time,,,
O000261,27-05-2025,27-05-2025,6,On Time,,,
O000262,18-11-2025,18-11-2025,8,On Time,,,
O000263,04-01-2026,04-01-2026,7,On Time,,,
O000264,20-05-2025,22-05-2025,4,Late,,,
O000265,27-03-2026,29-03-2026,7,Late,,,
O000266,21-08-2025,21-08-2025,7,On Time,,,
O000267,20-05-2025,20-05-2025,8,On Time,,,
O000268,18-12-2025,18-12-2025,5,On Time,,,
O000269,06-05-2025,06-05-2025,5,On Time,,,
O000270,13-05-2026,13-05-2026,8,On Time,,,
O000271,14-06-2026,14-06-2026,6,On Time,,,
O000272,26-01-2025,26-01-2025,6,On Time,,,
O000273,28-02-2026,28-02-2026,5,On Time,,,
O000274,07-10-2025,07-10-2025,4,On Time,,,
O000275,06-09-2025,06-09-2025,2,On Time,,,
O000276,06-02-2025,06-02-2025,6,On Time,,,
O000277,22-01-2026,22-01-2026,4,On Time,,,
O000278,11-08-2026,12-08-2026,5,Late,,,
O000279,29-07-2026,29-07-2026,7,On Time,,,
O000280,14-06-2025,14-06-2025,7,On Time,,,
O000281,08-08-2026,08-08-2026,4,On Time,,,
O000282,28-02-2025,28-02-2025,1,On Time,,,
O000283,23-04-2025,23-04-2025,8,On Time,,,
O000284,19-02-2025,19-02-2025,3,On Time,,,
O000285,31-07-2025,31-07-2025,4,On Time,,,
O000286,26-09-2025,26-09-2025,1,On Time,,,
O000287,20-10-2025,20-10-2025,1,On Time,,,
O000288,30-08-2025,30-08-2025,4,Not Shipped,,,
O000289,16-06-2026,16-06-2026,3,On Time,,,
O000290,26-05-2026,26-05-2026,3,On Time,,,
O000291,18-05-2025,18-05-2025,4,On Time,,,
O000292,10-08-2025,11-08-2025,7,Late,,,
O000293,04-10-2025,05-10-2025,4,Late,,,
O000294,20-08-2025,20-08-2025,3,On Time,,,
O000295,12-02-2025,14-02-2025,4,Late,,,
O000296,20-07-2026,20-07-2026,7,On Time,,,
O000297,28-07-2025,28-07-2025,7,On Time,,,
O000298,16-04-2026,16-04-2026,4,On Time,,,
O000299,22-10-2025,26-10-2025,10,Late,,,
O000300,28-06-2026,28-06-2026,8,On Time,,,
O000301,15-01-2025,15-01-2025,2,On Time,,,
O000302,27-05-2025,27-05-2025,7,On Time,,,
O000303,27-05-2025,27-05-2025,2,On Time,,,
O000304,02-10-2025,02-10-2025,4,On Time,,,
O000305,03-07-2025,03-07-2025,3,On Time,,,
O000306,11-11-2025,11-11-2025,4,On Time,,,
O000307,21-03-2026,21-03-2026,7,On Time,,,
O000308,14-01-2025,14-01-2025,1,On Time,,,
O000309,02-01-2026,06-01-2026,7,Late,,,
O000310,30-01-2026,30-01-2026,8,On Time,,,
O000311,20-05-2025,20-05-2025,2,On Time,,,
O000312,31-05-2025,03-06-2025,9,Late,,,
O000313,31-07-2025,01-08-2025,5,Not Shipped,,,
O000314,23-12-2025,23-12-2025,7,On Time,,,
O000315,14-01-2026,14-01-2026,4,On Time,,,
O000316,16-03-2026,16-03-2026,7,Not Shipped,,,
O000317,07-07-2025,07-07-2025,7,On Time,,,
O000318,27-11-2025,27-11-2025,5,On Time,,,
O000319,06-02-2026,06-02-2026,7,On Time,,,
O000320,14-04-2025,14-04-2025,7,On Time,,,
O000321,11-08-2026,11-08-2026,6,Not Shipped,,,
O000322,04-10-2025,04-10-2025,3,On Time,,,
O000323,15-08-2025,15-08-2025,7,Not Shipped,,,
O000324,02-02-2026,02-02-2026,2,On Time,,,
O000325,14-05-2025,14-05-2025,5,Not Shipped,,,
O000326,28-11-2025,28-11-2025,6,On Time,,,
O000327,10-05-2025,10-05-2025,5,On Time,,,
O000328,26-10-2025,26-10-2025,5,On Time,,,
O000329,11-06-2026,12-06-2026,3,Late,,,
O000330,07-03-2025,07-03-2025,7,On Time,,,
O000331,30-12-2025,30-12-2025,3,On Time,,,
O000332,15-04-2025,15-04-2025,7,On Time,,,
O000333,03-10-2025,03-10-2025,6,On Time,,,
O000334,16-08-2026,16-08-2026,8,On Time,,,
O000335,05-01-2026,05-01-2026,1,On Time,,,
O000336,31-07-2026,01-08-2026,7,Late,,,
O000337,26-08-2025,26-08-2025,8,On Time,,,
O000338,22-02-2025,22-02-2025,5,On Time,,,
O000339,03-09-2025,03-09-2025,2,On Time,,,
O000340,19-02-2026,19-02-2026,2,On Time,,,
O000341,24-04-2025,24-04-2025,8,On Time,,,
O000342,05-03-2026,05-03-2026,6,Not Shipped,,,
O000343,16-01-2026,16-01-2026,3,On Time,,,
O000344,21-02-2026,21-02-2026,1,On Time,,,
O000345,25-07-2025,25-07-2025,7,On Time,,,
O000346,20-04-2026,20-04-2026,6,On Time,,,
O000347,25-03-2025,25-03-2025,7,On Time,,,
O000348,01-04-2026,01-04-2026,7,On Time,,,
O000349,01-05-2025,01-05-2025,4,On Time,,,
O000350,06-05-2025,10-05-2025,9,Late,,,
O000351,09-12-2025,09-12-2025,3,On Time,,,
O000352,11-01-2026,11-01-2026,4,On Time,,,
O000353,09-11-2025,09-11-2025,6,On Time,,,
O000354,03-03-2025,03-03-2025,5,On Time,,,
O000355,13-01-2026,13-01-2026,6,On Time,,,
O000356,15-10-2025,15-10-2025,5,On Time,,,
O000357,04-03-2026,04-03-2026,5,On Time,,,
O000358,15-09-2025,18-09-2025,11,Late,,,
O000359,27-01-2026,27-01-2026,5,On Time,,,
O000360,25-06-2026,25-06-2026,3,Not Shipped,,,
O000361,02-09-2025,05-09-2025,11,Late,,,
O000362,07-04-2026,07-04-2026,2,On Time,,,
O000363,27-04-2026,27-04-2026,3,On Time,,,
O000364,23-07-2025,27-07-2025,9,Late,,,
O000365,29-09-2025,29-09-2025,5,On Time,,,
O000366,02-02-2025,05-02-2025,10,Late,,,
O000367,21-05-2026,21-05-2026,4,Not Shipped,,,
O000368,10-01-2026,10-01-2026,2,On Time,,,
O000369,14-12-2025,14-12-2025,8,On Time,,,
O000370,12-04-2026,16-04-2026,7,Late,,,
O000371,10-06-2025,10-06-2025,5,On Time,,,
O000372,23-06-2026,23-06-2026,8,On Time,,,
O000373,31-05-2025,31-05-2025,4,On Time,,,
O000374,21-03-2026,21-03-2026,5,On Time,,,
O000375,17-01-2025,20-01-2025,11,Late,,,
O000376,11-08-2026,11-08-2026,3,On Time,,,
O000377,18-09-2025,18-09-2025,3,On Time,,,
O000378,28-04-2026,28-04-2026,3,On Time,,,
O000379,04-02-2025,07-02-2025,5,Late,,,
O000380,14-09-2025,14-09-2025,6,On Time,,,
O000381,04-09-2025,06-09-2025,7,Late,,,
O000382,13-09-2025,13-09-2025,2,Not Shipped,,,
O000383,31-07-2026,31-07-2026,4,On Time,,,
O000384,02-09-2025,02-09-2025,6,On Time,,,
O000385,14-04-2025,14-04-2025,4,On Time,,,
O000386,11-04-2026,11-04-2026,5,On Time,,,
O000387,28-08-2026,28-08-2026,7,On Time,,,
O000388,21-11-2025,21-11-2025,8,Not Shipped,,,
O000389,05-07-2025,05-07-2025,7,On Time,,,
O000390,19-06-2025,19-06-2025,3,On Time,,,
O000391,17-09-2025,17-09-2025,3,On Time,,,
O000392,16-05-2026,16-05-2026,2,On Time,,,
O000393,24-07-2025,24-07-2025,6,On Time,,,
O000394,21-06-2025,21-06-2025,7,On Time,,,
O000395,05-08-2025,05-08-2025,3,On Time,,,
O000396,16-06-2025,16-06-2025,5,On Time,,,
O000397,17-04-2025,17-04-2025,2,On Time,,,
O000398,29-04-2025,29-04-2025,1,On Time,,,
O000399,01-08-2026,01-08-2026,2,On Time,,,
O000400,13-07-2026,16-07-2026,5,Late,,,
O000401,17-01-2026,18-01-2026,6,Late,,,
O000402,11-03-2026,15-03-2026,5,Late,,,
O000403,19-02-2025,19-02-2025,8,On Time,,,
O000404,20-03-2025,20-03-2025,8,On Time,,,
O000405,01-05-2026,06-05-2026,7,Late,,,
O000406,28-02-2025,28-02-2025,7,Not Shipped,,,
O000407,05-12-2025,05-12-2025,6,On Time,,,
O000408,11-06-2025,11-06-2025,4,On Time,,,
O000409,20-06-2025,25-06-2025,13,Late,,,
O000410,31-03-2026,31-03-2026,8,On Time,,,
O000411,06-09-2025,06-09-2025,3,On Time,,,
O000412,23-07-2025,23-07-2025,6,On Time,,,
O000413,19-07-2026,19-07-2026,6,On Time,,,
O000414,30-01-2026,30-01-2026,6,On Time,,,
O000415,14-10-2025,14-10-2025,6,On Time,,,
O000416,10-04-2025,10-04-2025,4,On Time,,,
O000417,17-04-2026,17-04-2026,5,On Time,,,
O000418,20-03-2026,20-03-2026,5,On Time,,,
O000419,27-01-2026,28-01-2026,6,Late,,,
O000420,02-07-2026,03-07-2026,7,Late,,,
O000421,29-11-2025,29-11-2025,1,On Time,,,
O000422,04-11-2025,04-11-2025,7,On Time,,,
O000423,27-11-2025,02-12-2025,8,Late,,,
O000424,02-02-2026,06-02-2026,6,Late,,,
O000425,09-02-2026,09-02-2026,4,On Time,,,
O000426,15-07-2025,18-07-2025,4,Not Shipped,,,
O000427,17-07-2026,17-07-2026,8,On Time,,,
O000428,04-12-2025,04-12-2025,1,On Time,,,
O000429,21-04-2025,21-04-2025,2,On Time,,,
O000430,02-08-2025,02-08-2025,2,On Time,,,
O000431,12-05-2025,12-05-2025,1,On Time,,,
O000432,17-11-2025,17-11-2025,6,On Time,,,
O000433,25-05-2025,26-05-2025,4,Late,,,
O000434,14-11-2025,14-11-2025,2,On Time,,,
O000435,20-12-2025,20-12-2025,5,On Time,,,
O000436,22-01-2026,22-01-2026,8,On Time,,,
O000437,13-06-2026,13-06-2026,7,On Time,,,
O000438,24-10-2025,24-10-2025,3,On Time,,,
O000439,13-02-2026,13-02-2026,8,On Time,,,
O000440,22-02-2025,22-02-2025,5,On Time,,,
O000441,03-09-2025,03-09-2025,3,On Time,,,
O000442,25-05-2026,25-05-2026,2,Not Shipped,,,
O000443,21-01-2025,21-01-2025,1,On Time,,,
O000444,10-11-2025,10-11-2025,2,On Time,,,
O000445,22-11-2025,22-11-2025,3,On Time,,,
O000446,13-08-2026,13-08-2026,3,On Time,,,
O000447,17-11-2025,17-11-2025,8,On Time,,,
O000448,16-08-2025,16-08-2025,2,On Time,,,
O000449,21-09-2025,21-09-2025,1,On Time,,,
O000450,28-04-2025,28-04-2025,1,On Time,,,
O000451,07-02-2026,07-02-2026,6,On Time,,,
O000452,31-12-2025,31-12-2025,2,On Time,,,
O000453,15-03-2025,16-03-2025,5,Late,,,
O000454,10-02-2026,10-02-2026,6,On Time,,,
O000455,13-03-2026,13-03-2026,6,On Time,,,
O000456,28-06-2026,01-07-2026,5,Late,,,
O000457,27-06-2025,27-06-2025,6,On Time,,,
O000458,25-02-2025,25-02-2025,3,On Time,,,
O000459,11-01-2026,13-01-2026,10,Late,,,
O000460,18-01-2025,18-01-2025,8,On Time,,,
O000461,21-05-2026,22-05-2026,6,Late,,,
O000462,06-03-2026,06-03-2026,8,On Time,,,
O000463,26-04-2025,26-04-2025,3,On Time,,,
O000464,30-10-2025,30-10-2025,7,On Time,,,
O000465,09-09-2025,13-09-2025,7,Late,,,
O000466,12-05-2025,12-05-2025,5,On Time,,,
O000467,07-07-2026,07-07-2026,2,On Time,,,
O000468,27-01-2026,31-01-2026,7,Late,,,
O000469,10-10-2025,10-10-2025,5,On Time,,,
O000470,30-05-2026,30-05-2026,4,On Time,,,
O000471,10-05-2026,10-05-2026,3,On Time,,,
O000472,21-11-2025,21-11-2025,6,On Time,,,
O000473,23-04-2025,23-04-2025,5,On Time,,,
O000474,08-03-2026,09-03-2026,7,Late,,,
O000475,02-01-2026,02-01-2026,2,Not Shipped,,,
O000476,25-01-2025,25-01-2025,5,On Time,,,
O000477,23-01-2026,28-01-2026,6,Late,,,
O000478,14-04-2025,14-04-2025,2,On Time,,,
O000479,01-11-2025,04-11-2025,7,Late,,,
O000480,30-08-2026,30-08-2026,7,On Time,,,
O000481,04-12-2025,04-12-2025,1,On Time,,,
O000482,29-10-2025,29-10-2025,5,On Time,,,
O000483,14-05-2026,14-05-2026,5,On Time,,,
O000484,21-01-2025,21-01-2025,1,On Time,,,
O000485,21-04-2025,21-04-2025,1,On Time,,,
O000486,31-01-2025,02-02-2025,8,Late,,,
O000487,28-08-2026,28-08-2026,1,Not Shipped,,,
O000488,09-04-2026,09-04-2026,2,On Time,,,
O000489,30-07-2026,30-07-2026,1,On Time,,,
O000490,13-07-2025,13-07-2025,3,On Time,,,
O000491,24-03-2025,29-03-2025,9,Late,,,
O000492,22-06-2025,22-06-2025,7,On Time,,,
O000493,03-10-2025,03-10-2025,6,On Time,,,
O000494,10-06-2026,10-06-2026,8,On Time,,,
O000495,11-04-2026,11-04-2026,2,On Time,,,
O000496,14-04-2026,15-04-2026,9,Late,,,
O000497,10-01-2026,12-01-2026,9,Late,,,
O000498,11-09-2025,11-09-2025,8,On Time,,,
O000499,23-04-2026,23-04-2026,2,On Time,,,
O000500,17-01-2025,17-01-2025,4,On Time,,,
O000501,09-02-2025,09-02-2025,4,On Time,,,
O000502,12-08-2026,12-08-2026,7,On Time,,,
O000503,11-07-2025,11-07-2025,3,On Time,,,
O000504,08-07-2026,08-07-2026,3,On Time,,,
O000505,16-03-2026,19-03-2026,10,Late,,,
O000506,10-06-2026,10-06-2026,5,On Time,,,
O000507,03-06-2025,03-06-2025,4,On Time,,,
O000508,16-03-2026,16-03-2026,8,On Time,,,
O000509,19-05-2025,19-05-2025,3,On Time,,,
O000510,17-12-2025,17-12-2025,2,On Time,,,
O000511,31-07-2025,31-07-2025,4,On Time,,,
O000512,21-05-2026,21-05-2026,1,On Time,,,
O000513,07-09-2026,07-09-2026,8,On Time,,,
O000514,16-09-2025,16-09-2025,7,On Time,,,
